,Date,Ticker,BOARD_AVERAGE_AGE,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,BOARD_SIZE,CEO_DUALITY,CHIEF_EXECUTIVE_OFFICER_AGE,CHIEF_EXECUTIVE_OFFICER_TENURE,CUR_MKT_CAP,ENVIRON_DISCLOSURE_SCORE,EQY_INST_PCT_SH_OUT,ESG_DISCLOSURE_SCORE,FEMALE_CEO_OR_EQUIVALENT,GOVNCE_DISCLOSURE_SCORE,INDEPENDENT_DIRECTORS,NUMBER_OF_WOMEN_ON_BOARD,PCT_IND_DIRECTORS_ON_COMP_CMTE,PCT_WOMEN_ON_BOARD,SOCIAL_DISCLOSURE_SCORE,TOT_COMP_AW_TO_CEO_&_EQUIV,BOARD_AVERAGE_TENURE,BS_TOT_ASSET,EPS_GROWTH,FNCL_LVRG,PCT_INSIDER_SHARES_OUT,RETURN_COM_EQY,RETURN_ON_ASSET,SALES_GROWTH,TOBIN_Q_RATIO,security_name,gics_sector_name
0,2010-12-31,0609237D CT Equity,62.07,17.0,99.0,14.0,0.0,,,2747.5177,,37.665,12.8099,,51.7857,13.0,,,21.43,3.5088,,,2965.8,126.9504,3.5251,1.8090000000000002,25.8205,7.3248,11.688,1.5657999999999999,TMX Group Inc,
1,2011-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,3110.8911,,28.392,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.426,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
2,2012-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,3764.8648,,6.359,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.663,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
3,2013-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,2.481,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.663,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
4,2014-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,2.329,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.663,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
5,2015-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,0.0,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.0,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
6,2016-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,0.0,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.0,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
7,2017-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,0.0,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.0,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
8,2018-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
9,2019-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
10,2020-12-31,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,,,0.0,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.0,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,
11,2010-12-31,0851201D CT Equity,,9.0,96.3,6.0,0.0,,,1019.7246,,40.381,13.2231,,48.2143,5.0,,,0.0,8.7719,,,337.698,-82.2034,1.2454,2.857,8.3909,6.7374,-6.4747,2.6292,Grande Cache Coal Corp,
12,2011-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,974.3007,,27.325,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,1.857,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
13,2012-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,983.7472,,10.92,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,0.71,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
14,2013-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,10.179,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,0.71,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
15,2014-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,10.179,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,0.71,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
16,2015-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,10.179,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,0.71,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
17,2016-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
18,2017-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
19,2018-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
20,2019-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
21,2020-12-31,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,,,,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4445999999999999,,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,
22,2010-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,933.6538,,41.124,11.157,,48.2143,7.0,,,12.5,,,,365.023,188.2353,1.3127,0.888,24.4714,18.6423,80.0422,2.8554,Neo Material Technologies Inc,
23,2011-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,853.4524,,39.48,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.56,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
24,2012-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,1157.3711,,18.671,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.149,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
25,2013-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,10.46,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.149,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
26,2014-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,10.361,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.149,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
27,2015-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,10.361,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.149,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
28,2016-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
29,2017-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
30,2018-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
31,2019-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
32,2020-12-31,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,,,,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,
33,2010-12-31,1280452D CT Equity,63.714,22.0,96.9,7.0,0.0,,,1024.7909,,,12.8099,,51.7857,7.0,1.0,100.0,14.29,3.5088,,,454.978,59.6774,2.4156,,10.8543,4.4934,-28.986,3.1434,CML HealthCare Inc,
34,2011-12-31,1280452D CT Equity,64.714,14.0,97.94,7.0,1.0,,,867.6052,,30.998,12.8099,1.0,51.7857,6.0,1.0,100.0,14.29,3.5088,,,440.797,-26.2626,9.630700000000001,0.513,128.8801,13.3822,-3.65,2.8734,CML HealthCare Inc,
35,2012-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,596.4865,,31.463,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,0.147,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
36,2013-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,967.3726,,33.874,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,0.13,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
37,2014-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,16.998,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,0.13,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
38,2015-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,1.525,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,0.0,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
39,2016-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
40,2017-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
41,2018-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
42,2019-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
43,2020-12-31,1280452D CT Equity,63.333,11.0,98.48,6.0,0.0,,,,,,12.8099,0.0,51.7857,6.0,1.0,100.0,16.67,3.5088,,,348.945,-39.726,13.7583,,139.1404,10.1132,-0.3253,2.6654,CML HealthCare Inc,
44,2010-12-31,1284913D CT Equity,61.72,8.0,87.65,11.0,0.0,,,8595.8816,9.375,34.516,22.9665,,51.7857,10.0,,,36.36,17.5439,,,6852.454,5.4902,1.8237999999999999,0.134,16.1429,8.8511,5.9715,1.8824999999999998,Corp Shoppers Drug Mart,
45,2011-12-31,1284913D CT Equity,64.0,11.0,94.59,11.0,0.0,,,8839.3115,9.375,50.691,23.9234,0.0,55.3571,10.0,4.0,100.0,36.363,17.5439,,,7300.31,4.4118,1.6984,0.032,14.4596,8.5135,2.6090999999999998,1.6129,Corp Shoppers Drug Mart,
46,2012-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,8781.5757,9.375,57.305,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7471.774,2.4648,1.7204000000000002,0.011,14.1271,8.2114,3.0902,1.5787,Corp Shoppers Drug Mart,
47,2013-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,11646.8178,9.375,50.037,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,0.008,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
48,2014-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,12180.748,9.375,18.36,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,0.0,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
